01/24/2025	11:15:08	(analyzed:  1/24/2025)
MJD	timer	SDR:fb_Al_TiS	SDR:fb_Yb_TiS	SDR:frep_TiS	fo_TiS	fb_Si_TiS
60699.765178	402744.000000	NaN	nan	NaN	NaN	NaN
60699.765190	403801.000000	NaN	nan	NaN	NaN	NaN
60699.765202	404856.000000	NaN	nan	NaN	NaN	NaN
60699.765215	405912.000000	NaN	nan	NaN	NaN	NaN
60699.765227	406967.000000	NaN	nan	NaN	NaN	NaN
60699.765239	408024.000000	NaN	nan	NaN	NaN	NaN
60699.765251	409079.000000	NaN	nan	NaN	NaN	NaN
60699.765263	410138.000000	NaN	nan	NaN	NaN	NaN
60699.765276	411195.000000	NaN	nan	NaN	NaN	NaN
60699.765288	412251.000000	NaN	nan	NaN	NaN	NaN
60699.765300	413309.000000	NaN	nan	NaN	NaN	NaN
60699.765312	414366.000000	NaN	nan	NaN	NaN	NaN
60699.765325	415421.000000	NaN	nan	NaN	NaN	NaN
60699.765337	416478.000000	NaN	nan	NaN	NaN	NaN
60699.765349	417534.000000	NaN	nan	NaN	NaN	NaN
60699.765361	418591.000000	NaN	nan	NaN	NaN	NaN
60699.765374	419649.000000	NaN	nan	NaN	NaN	NaN
60699.765386	420706.000000	NaN	nan	NaN	NaN	NaN
60699.765398	421762.000000	NaN	nan	NaN	NaN	NaN
60699.765410	422818.000000	NaN	nan	NaN	NaN	NaN
60699.765422	423874.000000	NaN	nan	NaN	NaN	NaN
60699.765435	424932.000000	NaN	nan	NaN	NaN	NaN
60699.765447	425988.000000	NaN	nan	NaN	NaN	NaN
60699.765459	427046.000000	NaN	nan	NaN	NaN	NaN
60699.765471	428103.000000	NaN	nan	NaN	NaN	NaN
60699.765484	429160.000000	NaN	nan	NaN	NaN	NaN
60699.765496	430218.000000	NaN	nan	NaN	NaN	NaN
60699.765508	431274.000000	NaN	nan	NaN	NaN	NaN
60699.765520	432331.000000	NaN	nan	NaN	NaN	NaN
60699.765533	433388.000000	NaN	nan	NaN	NaN	NaN
60699.765545	434445.000000	NaN	nan	NaN	NaN	NaN
60699.765557	435502.000000	NaN	nan	NaN	NaN	NaN
60699.765569	436560.000000	NaN	nan	NaN	NaN	NaN
60699.765582	437619.000000	NaN	nan	NaN	NaN	NaN
60699.765594	438676.000000	NaN	nan	NaN	NaN	NaN
60699.765606	439733.000000	NaN	nan	NaN	NaN	NaN
60699.765618	440790.000000	NaN	nan	NaN	NaN	NaN
60699.765630	441847.000000	NaN	nan	NaN	NaN	NaN
60699.765643	442904.000000	NaN	nan	NaN	NaN	NaN
60699.765655	443962.000000	NaN	nan	NaN	NaN	NaN
60699.765667	445018.000000	NaN	nan	NaN	NaN	NaN
60699.765679	446077.000000	NaN	nan	NaN	NaN	NaN
60699.765692	447132.000000	NaN	nan	NaN	NaN	NaN
60699.765704	448188.000000	NaN	nan	NaN	NaN	NaN
60699.765716	449246.000000	NaN	nan	NaN	NaN	NaN
60699.765728	450301.000000	NaN	nan	NaN	NaN	NaN
60699.765741	451357.000000	NaN	nan	NaN	NaN	NaN
60699.765753	452414.000000	NaN	nan	NaN	NaN	NaN
60699.765765	453470.000000	NaN	nan	NaN	NaN	NaN
60699.765777	454527.000000	NaN	nan	NaN	NaN	NaN
60699.765789	455584.000000	NaN	nan	NaN	NaN	NaN
60699.765802	456641.000000	NaN	nan	NaN	NaN	NaN
