MJD,shift,IS_GOOD
60507.71655312,63000001.954478986561298370361328125,True
60507.7165638,63000001.931195862591266632080078125,True
60507.71657445,63000001.91388972103595733642578125,True
60507.71658512,63000001.896374411880970001220703125,True
60507.71659579,63000001.87948943674564361572265625,True
60507.71660659,63000001.858898006379604339599609375,True
60507.71661713,63000001.83592994511127471923828125,True
60507.7166278,63000001.80932368338108062744140625,True
60507.71663847,63000001.808546863496303558349609375,True
60507.71664915,63000001.819638080894947052001953125,True
60507.71665982,63000001.843222081661224365234375,True
60507.71667049,63000001.872431479394435882568359375,True
60507.71668116,63000001.907933451235294342041015625,True
60507.71669183,63000001.9507306516170501708984375,True
60507.7167025,63000001.992645777761936187744140625,True
60507.71671315,63000002.0305146872997283935546875,True
60507.71672383,63000002.046349056065082550048828125,True
60507.7167345,63000002.035044930875301361083984375,True
60507.71674517,63000002.030325137078762054443359375,True
60507.71675584,63000002.026804268360137939453125,True
60507.71676652,63000002.020277522504329681396484375,True
60507.71677718,63000002.002709947526454925537109375,True
60507.71678786,63000001.989917509257793426513671875,True
60507.71679855,63000001.980481274425983428955078125,True
60507.71680921,63000001.97835843265056610107421875,True
60507.71681987,63000001.98096571862697601318359375,True
60507.71683054,63000001.9840557575225830078125,True
60507.71684121,63000001.992142476141452789306640625,True
60507.71685188,63000001.9882946312427520751953125,True
60507.71686255,63000001.984204113483428955078125,True
60507.71687323,63000001.9800737202167510986328125,True
60507.71688389,63000001.99519319832324981689453125,True
60507.71689456,63000002.000854991376399993896484375,True
60507.71690523,63000001.998849801719188690185546875,True
60507.71691591,63000001.9944306313991546630859375,True
60507.71692658,63000001.99136793613433837890625,True
60507.71693725,63000001.983890376985073089599609375,True
60507.71694792,63000001.9736553132534027099609375,True
60507.71695859,63000001.96197856962680816650390625,True
60507.71696927,63000001.943326532840728759765625,True
60507.71697992,63000001.92965768277645111083984375,True
60507.71699059,63000001.93186025321483612060546875,True
60507.71700126,63000001.9344669878482818603515625,True
60507.71701195,63000001.94184799492359161376953125,True
60507.7170226,63000001.956075288355350494384765625,True
60507.71703327,63000001.971271313726902008056640625,True
60507.71704395,63000001.992704458534717559814453125,True
60507.71705462,63000002.019905626773834228515625,True
60507.71706529,63000002.033213794231414794921875,True
60507.71707596,63000002.0268796384334564208984375,True
60507.71708663,63000002.026717893779277801513671875,True
60507.71709729,63000002.0289274156093597412109375,True
60507.71710796,63000002.015945263206958770751953125,True
60507.71711864,63000001.986892633140087127685546875,True
60507.71712931,63000001.968463428318500518798828125,True
60507.71713998,63000001.9576866924762725830078125,True
60507.71715065,63000001.95805178582668304443359375,True
60507.71716133,63000001.970358289778232574462890625,True
60507.71717201,63000001.97985602915287017822265625,True
60507.71718268,63000001.983435042202472686767578125,True
60507.71719334,63000001.986377216875553131103515625,True
60507.71720402,63000001.99258220195770263671875,True
60507.71721466,63000002.00530867278575897216796875,True
60507.71722533,63000002.024272926151752471923828125,True
60507.71723602,63000002.042379252612590789794921875,True
60507.71724669,63000002.055202044546604156494140625,True
60507.71725736,63000002.0625669658184051513671875,True
60507.71726803,63000002.065705589950084686279296875,True
60507.7172787,63000002.0472657978534698486328125,True
60507.71728937,63000002.00256101787090301513671875,True
60507.71730004,63000001.967452026903629302978515625,True
60507.71731071,63000001.9442273080348968505859375,True
60507.71732138,63000001.92971660196781158447265625,True
60507.71733205,63000001.92582571506500244140625,True
60507.71734273,63000001.92383296787738800048828125,True
60507.71735339,63000001.917834937572479248046875,True
60507.71736407,63000001.916694469749927520751953125,True
60507.71737473,63000001.9245665073394775390625,True
60507.7173854,63000001.93118692934513092041015625,True
60507.71739607,63000001.93614394962787628173828125,True
60507.71740674,63000001.9390648901462554931640625,True
60507.71741743,63000001.938338123261928558349609375,True
60507.71742808,63000001.94213123619556427001953125,True
60507.71743875,63000001.951076567173004150390625,True
60507.71744942,63000001.96180914342403411865234375,True
60507.7174601,63000001.97018395364284515380859375,True
60507.71747075,63000001.97879244387149810791015625,True
60507.71748144,63000001.98183043301105499267578125,True
60507.71749208,63000001.977017462253570556640625,True
60507.71750277,63000001.95772774517536163330078125,True
60507.71751345,63000001.943264581263065338134765625,True
60507.71752411,63000001.934409298002719879150390625,True
