fo_ErYb,SDR:fb_Yb_ErYb,SDR:frep_ErYb,fb_Si_ErYb,MJD,nuSi,nuSr,nuYb
104999999.99940000,28855436.80020300,113927.22991700,100000000.00000000,60507.711461,194397939719242.34679200,429228169936276.7145182310485,518295773594976.89592300
105000000.00020000,28855436.80035400,113927.22919100,99999999.99810000,60507.711473,194397939719101.22981600,429228169935965.1296899904601,518295773594600.65555900
105000000.00080000,28855436.79957500,113927.22965700,100000000.00060000,60507.711485,194397939719191.80903200,429228169936165.1276651421325,518295773594842.15555900
104999999.99990000,28855436.80019000,113927.22954600,100000000.00060000,60507.711497,194397939719170.23329600,429228169936117.4886624772492,518295773594784.63002200
105000000.00030001,28855436.79973900,113927.22957200,99999999.99990000,60507.71151,194397939719175.28707200,429228169936128.6473477861408,518295773594798.10508600
105000000.00000000,28855436.79998600,113927.22958500,100000000.00080000,60507.711522,194397939719177.81396000,429228169936134.2266904405866,518295773594804.84167300
105000000.00030001,28855436.80018600,113927.22945900,99999999.99810000,60507.711534,194397939719153.32258400,429228169936080.1499847128811,518295773594739.54341100
105000000.00130001,28855436.79995700,113927.22965500,100000000.00000000,60507.711546,194397939719191.42028000,429228169936164.2693047337562,518295773594841.11832100
105000000.00110000,28855436.79995700,113927.22946500,100000000.00130001,60507.711559,194397939719154.48884000,429228169936082.7250659380100,518295773594742.65329100
104999999.99930000,28855436.79995300,113927.22945900,99999999.99940000,60507.711571,194397939719153.32258400,429228169936080.1499847128811,518295773594739.54387700
105000000.00120001,28855436.80003800,113927.22951700,100000000.00060000,60507.711583,194397939719164.59639200,429228169936105.0424365557932,518295773594769.60145300
104999999.99940000,28855436.80010300,113927.22938100,99999999.99890000,60507.711595,194397939719138.16125600,429228169936046.6739287862063,518295773594699.12109100
105000000.00000000,28855436.79984100,113927.22956200,100000000.00000000,60507.711607,194397939719173.34331200,429228169936124.3555457442594,518295773594792.92251200
104999999.99990000,28855436.79998300,113927.22947500,100000000.00090000,60507.71162,194397939719156.43260000,429228169936087.0168679798913,518295773594747.83560900
105000000.00020000,28855436.79997600,113927.22968800,99999999.99930000,60507.711632,194397939719197.83468800,429228169936178.4322514719648,518295773594858.22010400
105000000.00060000,28855436.80007700,113927.22973900,100000000.00110000,60507.711644,194397939719207.74786400,429228169936200.3204418855598,518295773594884.64998900
105000000.00180000,28855436.80015400,113927.22944600,99999999.99890000,60507.711656,194397939719150.79569600,429228169936074.5706420584353,518295773594732.80639400
105000000.00000000,28855436.80010000,113927.22931300,100000000.00010000,60507.711668,194397939719124.94368800,429228169936017.4896749014129,518295773594663.88098100
105000000.00160000,28855436.79996600,113927.22941600,100000000.00030001,60507.711681,194397939719144.96441600,429228169936061.6952359327912,518295773594717.25966000
104999999.99969999,28855436.80046300,113927.22946800,99999999.99869999,60507.711693,194397939719155.07196800,429228169936084.0126065505744,518295773594744.20699000
105000000.00139999,28855436.79945000,113927.22930500,100000000.00110000,60507.711705,194397939719123.38868000,429228169936014.0562332679078,518295773594659.73638500
105000000.00070000,28855436.80006400,113927.22940200,100000000.00000000,60507.711717,194397939719142.24315200,429228169936055.6867130741572,518295773594710.00414600
105000000.00070000,28855436.79985500,113927.22966200,99999999.99969999,60507.71173,194397939719192.78091200,429228169936167.2735661630732,518295773594844.74618400
105000000.00080000,28855436.79996800,113927.22989100,100000000.00080000,60507.711742,194397939719237.29301600,429228169936265.5558329221569,518295773594963.42223100
105000000.00070000,28855436.79997800,113927.22954700,99999999.99750000,60507.711754,194397939719170.42767200,429228169936117.9178426814373,518295773594785.14868300
104999999.99959999,28855436.80015100,113927.22916100,100000000.00040001,60507.711766,194397939719095.39853600,429228169935952.2542838648159,518295773594585.10885500
